Model,Overall,Ventricles,WMH
ATTN_UNET,0.844759276,0.922550702,0.76696785
DEEPL3_UNET,0.775096478,0.857260267,0.692932689
TRANS_UNET,0.767973698,0.894776282,0.641171114
UNET,0.856486787,0.911334574,0.801639
