Model,Overall,Ventricles,WMH
ATTN_UNET,0.873103013,0.911729575,0.834476452
DEEPL3_UNET,0.814224053,0.866920896,0.761527211
TRANS_UNET,0.897169126,0.913298791,0.881039461
UNET,0.856858771,0.912415295,0.801302247
