Model,Overall,Ventricles,WMH
ATTN_UNET,12.04255574,3.851465528,20.23364596
DEEPL3_UNET,17.87091382,11.28898522,24.45284242
TRANS_UNET,16.86185535,8.882210871,24.84149984
UNET,12.20259388,5.339420631,19.06576712
